English,French
undoubtedly,sans aucun doute
unemployed,chômeurs
unemployment,le chômage
unexpected,inattendu
unfair,injuste
unfold,se dérouler
unfortunate,malheureux
unfortunately,malheureusement
unhappy,malheureux
uniform,uniforme
unify,unifier
union,syndicat
unique,unique
unit,unité
unite,s'unir
united,unis
unity,l'unité
universal,universel
universe,univers
university,l'université
unknown,inconnue
unless,sauf si
unlike,contrairement à
unlikely,peu probable
unnecessary,inutile
unpleasant,désagréable
unprecedented,sans précédent
until,jusqu'à
until,jusqu'à
unusual,inhabituel
unveil,dévoiler
up,monter
up,monter
upcoming,à venir
update,mise à jour
update,mise à jour
upgrade,mise à niveau
upgrade,mise à niveau
uphold,soutenir
upon,sur
upper,supérieur
upset,contrariété
upset,contrariété
upstairs,à l'étage
upstairs,à l'étage
upwards,vers le haut
urban,urbain
urge,presser
urgent,urgent
us,nous
usage,utilisation
use,utiliser
use,utiliser
used,utilisé
used to,utilisé pour
useful,utile
useless,inutile
user,utilisateur
usual,habituel
usually,généralement
utility,service public
utilize,utiliser
utterly,totalement
vacation,vacances
vacuum,vide
vague,vague
valid,valide
validity,validité
valley,vallée
valuable,précieux
value,valeur
value,valeur
van,fourgon
vanish,disparaître
variable,variable
variable,variable
variation,variation
varied,varié
variety,variété
various,divers
vary,varier
vast,vaste
vegetable,légumes
vehicle,véhicule
vein,veine
venture,risque
venture,risque
venue,lieu
verbal,verbal
verdict,verdict
verify,vérifier
verse,vers
version,version
versus,par rapport à
vertical,vertical
very,très
very,très
vessel,navire
veteran,vétéran
via,via
viable,viable
vibrant,dynamique
vice,vice
vicious,vicieux
victim,victime
victory,victoire
video,vidéo
view,vue
view,vue
viewer,téléspectateur
viewpoint,point de vue
village,village
villager,villageois
violate,violer
violation,violation
violence,la violence
violent,violent
virtual,virtuel
virtue,la vertu
virus,virus
visa,visa
visible,visible
vision,vision
visit,visiter
visit,visiter
visitor,visiteur
visual,visuel
vital,vitale
vitamin,vitamine
vocal,vocal
voice,voix
volume,volume
voluntary,volontaire
volunteer,volontaire
volunteer,volontaire
vote,vote
vote,vote
voting,vote
vow,vœu
vulnerability,vulnérabilité
vulnerable,vulnérable
wage,salaire
wait,attendre
wait,attendre
waiter,serveur
wake,réveil
walk,marcher
walk,marcher
wall,mur
wander,errer
want,vouloir
war,guerre
ward,pupille
warehouse,entrepôt
warfare,guerre
warm,chaud
warm,chaud
warming,réchauffement
warn,avertir
warning,avertissement
warrant,mandat
warrant,mandat
warrior,guerrier
wash,laver
wash,laver
washing,lavage
waste,déchets
waste,déchets
waste,déchets
watch,regarder
watch,regarder
water,l'eau
water,l'eau
wave,vague
wave,vague
way,manière
way,manière
we,nous
weak,faible
weaken,affaiblir
weakness,faiblesse
wealth,richesse
wealthy,riches
weapon,arme
wear,porter
weather,météo
weave,tisser
web,web
website,site web
wedding,mariage
Wednesday,Mercredi
weed,adventice
week,semaine
weekend,week-end
weekly,hebdomadaire
weigh,peser
weight,poids
weird,bizarre
welcome,bienvenue
welcome,bienvenue
welcome,bienvenue
welcome,bienvenue
welfare,bien-être
well,bien
well,bien
well,bien
well,bien
well-being,le bien-être
west,Ouest
west,Ouest
west,Ouest
western,occidental
wet,humide
what,ce que
what,ce que
whatever,Quoi qu'il en soit
whatever,Quoi qu'il en soit
whatever,Quoi qu'il en soit
whatsoever,quel qu'il soit
wheat,blé
wheel,roue
when,quand
when,quand
when,quand
whenever,chaque fois que
where,où
where,où
whereas,considérant que
whereby,en vertu de laquelle
wherever,où que ce soit
whether,si
which,qui
which,qui
while,alors que
while,alors que
whilst,tout en
whip,fouet
whisper,chuchoter
whisper,chuchoter
white,blanc
white,blanc
who,qui
whoever,qui que ce soit
whole,entier
whole,entier
wholly,entièrement
whom,qui
whose,dont
whose,dont
why,pourquoi
wide,large
widely,largement
widen,élargir
widespread,très répandu
widow,veuve
width,largeur
wife,épouse
wild,sauvage
wildlife,faune
will,volonté
will,volonté
willing,volontaire
willingness,volonté
win,gagner
win,gagner
wind,vent
wind,vent
window,fenêtre
wine,le vin
wing,aile
winner,vainqueur
winter,l'hiver
wipe,essuyer
wire,fil de fer
wisdom,la sagesse
wise,sage
wish,souhait
wish,souhait
wit,esprit
with,avec
withdraw,se retirer
withdrawal,retrait
within,à l'intérieur
without,sans
witness,témoin
witness,témoin
woman,femme
wonder,miracle
wonder,miracle
wonderful,merveilleux
wood,bois
wooden,en bois
wool,laine
word,mot
work,travail
work,travail
worker,travailleur
workforce,effectifs
working,travail
workout,entraînement
workplace,lieu de travail
workshop,atelier
world,monde
worldwide,dans le monde entier
worldwide,dans le monde entier
worm,ver
worried,inquiet
worry,s'inquiéter
worry,s'inquiéter
worse,pire
worse,pire
worse,pire
worship,culte
worship,culte
worst,le pire
worst,le pire
worst,le pire
worth,valeur
worth,valeur
worthwhile,intéressant
worthy,digne
would,serait
wound,blessure
wound,blessure
wow,wow
wrap,envelopper
wrist,poignet
write,écrire
writer,écrivain
writing,l'écriture
written,écrit
wrong,erroné
wrong,erroné
wrong,erroné
yard,cour
yeah,oui
year,année
yell,crier
yellow,jaune
yellow,jaune
yes,oui
yesterday,hier
yesterday,hier
yet,encore
yet,encore
yield,rendement
yield,rendement
you,vous
young,jeune
young,jeune
youngster,jeune
your,votre
yours,la vôtre
yourself,toi-même
youth,la jeunesse
zero,zéro
zone,zone
conversely,inversement
mediation,médiation
cherry,cerise
testword,mot d&#39;essai
