English,Ukrainian
testimony,свідчення
testing,тестування
text,текст
text,текст
textbook,підручник
texture,текстура
than,ніж
than,ніж
thank,дякую
thankfully,на щастя.
thanks,дякую
thanks,дякую
that,що
that,що
that,що
that,що
the,"""У нас тут є"
theatre,театр
theatrical,театральний
theft,крадіжка
their,їх
theirs,їхні
them,їх
theme,тема
themselves,себе
then,тоді
theology,богослов'я
theoretical,теоретичний
theory,теорія
therapist,терапевт
therapy,терапія
there,там.
thereafter,після цього
thereby,тим самим
therefore,тому
thesis,дисертація
they,вони
thick,товстий
thief,злодій
thin,тонкий
thing,річ.
think,думаю.
thinking,думаючи
third,третій
third,третій
thirsty,спраглий.
thirteen,тринадцять.
thirty,тридцять.
this,це
this,це
this,це
thorough,ретельний
thoroughly,ретельно
though,хоча
though,хоча
thought,подумав я.
thought-provoking,наштовхує на роздуми.
thoughtful,вдумливий
thousand,тисяча
thread,нитка
threat,загроза
threaten,погрожувати
three,три
threshold,поріг
thrilled,в захваті.
thrive,процвітати
throat,горло
through,через
through,через
throughout,протягом
throughout,протягом
throw,кидок
thumb,великий палець
Thursday,Четвер
thus,таким чином
ticket,квиток
tide,приплив
tidy,охайно.
tidy,охайно.
tie,краватка
tie,краватка
tight,туго
tighten,затягнути
till,"до тих пір, поки"
till,"до тих пір, поки"
timber,деревина
time,час
time,час
timely,своєчасний
timing,час
tin,олово
tiny,крихітний
tip,підказка
tip,підказка
tired,втомлений
tissue,тканина
title,назва
title,назва
to,до
to,до
tobacco,тютюн
today,сьогодні
today,сьогодні
toe,палець на нозі
together,разом
toilet,туалет
tolerance,толерантність
tolerate,терпіти
toll,плата за проїзд
tomato,помідор
tomorrow,завтра
tomorrow,завтра
ton,тонна
tone,тон
tongue,язик
tonight,сьогодні вночі.
tonight,сьогодні вночі.
tonne,тонна
too,І я теж.
tool,інструмент
tooth,зуб
top,верхній
top,верхній
top,верхній
topic,тема
torture,катування
torture,катування
toss,підкинути
total,всього
total,всього
total,всього
totally,повністю
touch,дотик
touch,дотик
tough,жорсткий
tour,екскурсія
tour,екскурсія
tourism,туризм
tourist,турист
tournament,турнір
towards,до
towel,рушник
tower,вежа
town,місто
toxic,токсичний
toy,іграшка
toy,іграшка
trace,слід
trace,слід
track,трек
track,трек
trade,торгівля
trade,торгівля
trademark,торгова марка
trading,торгівля
tradition,традиція
traditional,традиційний
traffic,трафік
tragedy,трагедія
tragic,трагічний
trail,слід
trail,слід
trailer,причіп
train,потяг
train,потяг
trainer,тренер
training,навчання
trait,риса
transaction,транзакція
transcript,стенограма
transfer,передача
transfer,передача
transform,трансформуватися
transformation,трансформація
transit,транзит
transition,перехід
translate,перекласти
translation,переклад
transmission,передача
transmit,передати
transparency,прозорість
transparent,прозорий
transport,транспорт
transport,транспорт
transportation,транспортування
trap,пастка
trap,пастка
trauma,травма
travel,подорож
travel,подорож
traveller,мандрівник
treasure,скарб
treat,частування
treatment,лікування
treaty,договір
tree,дерево
tremendous,неймовірний.
trend,тенденція
trial,випробування
tribal,племінний
tribe,плем'я
tribunal,трибунал
tribute,данина
trick,трюк
trick,трюк
trigger,спусковий гачок
trigger,спусковий гачок
trillion,трильйон
trio,тріо
trip,подорож
trip,подорож
triumph,тріумф
troop,загін
trophy,трофей
tropical,тропічний
trouble,неприємність
trouble,неприємність
troubled,неспокійний
trousers,штани
truck,вантажівка
true,правда
truly,справді
trust,довіра
trust,довіра
trustee,опікун
truth,правда
try,Спробуй
try,Спробуй
tsunami,цунамі
tube,трубка
Tuesday,Вівторок
tuition,навчання
tune,мелодія
tunnel,тунель
turn,поворот
turn,поворот
turnout,явка
turnover,оборот
TV,ТЕЛЕБАЧЕННЯ
twelve,Дванадцять.
twenty,двадцять.
twice,Двічі
twin,близнюк
twin,близнюк
twist,твіст
twist,твіст
two,два
type,тип
type,тип
typical,типовий
typically,зазвичай
tyre,шина
ugly,потворний
ultimate,остаточний
ultimately,зрештою
umbrella,парасолька
unable,не в змозі
unacceptable,неприйнятно
uncertainty,невизначеність
uncle,дядько
uncomfortable,незручно
unconscious,без свідомості.
under,під
under,під
undergo,піддатися
undergraduate,бакалавр
underground,під землею
underground,під землею
underlying,що лежить в основі
undermine,підірвати
understand,розумію.
understanding,розуміння
undertake,взяти на себе зобов'язання
underwear,нижня білизна
undoubtedly,безсумнівно
unemployed,безробітні
unemployment,безробіття
unexpected,несподівано
unfair,несправедливо
unfold,розгортається
unfortunate,нещасний
unfortunately,на жаль
unhappy,нещасний.
uniform,форма
unify,об'єднати
union,об'єднання
unique,унікальний
unit,одиниця
unite,об'єднатися
united,об'єднані
unity,єдність
universal,універсальний
universe,всесвіт
university,університет
unknown,невідомо
unless,якщо тільки
unlike,на відміну від
unlikely,малоймовірно
unnecessary,непотрібний
unpleasant,неприємний
unprecedented,безпрецедентний
until,"до тих пір, поки"
until,"до тих пір, поки"
unusual,незвичайний
unveil,розкрити
up,догори
up,догори
upcoming,майбутній
update,оновлення
update,оновлення
upgrade,оновлення
upgrade,оновлення
uphold,підтримувати
upon,на
upper,верхній
upset,засмучений
upset,засмучений
upstairs,нагору.
upstairs,нагору.
upwards,вгору
urban,міський
urge,прагнення
urgent,терміново
us,нас
usage,використання
use,використання
use,використання
used,використаний
used to,звик
useful,корисний
useless,марна.
user,користувач
usual,звичайний
usually,Зазвичай
utility,корисність
utilize,використовувати
utterly,абсолютно
vacation,відпустка
vacuum,вакуум
vague,розпливчастий
valid,дійсний
validity,дійсність
valley,долина
valuable,цінний
value,значення
value,значення
van,фургон
vanish,зникати
variable,змінна
variable,змінна
variation,варіація
varied,різноманітні
variety,різноманітність
various,різний
vary,варіюватися
vast,величезна
vegetable,овочевий
vehicle,транспортний засіб
vein,вена
venture,підприємство
venture,підприємство
venue,місце проведення
verbal,словесний
verdict,вирок
verify,перевірити
verse,вірш
version,версія
versus,проти
vertical,вертикальний
very,дуже
very,дуже
vessel,судно
veteran,ветеран
via,через
viable,життєздатний
vibrant,яскравий
vice,порок
vicious,злісний
victim,жертва
victory,перемога
video,відео
view,вид
view,вид
viewer,глядач
viewpoint,точка зору
village,село
villager,селянин
violate,порушувати
violation,порушення
violence,насильство
violent,жорстокий
virtual,віртуальний
virtue,чеснота
virus,вірус
visa,віза
visible,видимий
vision,бачення
visit,візит
visit,візит
visitor,відвідувач
visual,візуальний
vital,життєво важливий
vitamin,вітамін
vocal,вокальний
voice,голос
volume,обсяг
voluntary,добровільний
volunteer,волонтер
volunteer,волонтер
vote,голосувати
vote,голосувати
voting,голосування
vow,клятва
vulnerability,вразливість
vulnerable,вразливий
wage,заробітна плата
wait,Зачекай.
wait,Зачекай.
waiter,офіціант
wake,прокидайся
walk,прогулянка
walk,прогулянка
wall,стіна
wander,блукати
want,хочу
war,війна
ward,підопічний
warehouse,склад
warfare,війна
warm,теплий
warm,теплий
warming,потепління
warn,попередити
warning,попередження
warrant,ордер
warrant,ордер
warrior,воїн
wash,мити
wash,мити
washing,прання
waste,відходи
waste,відходи
waste,відходи
watch,годинник
watch,годинник
water,вода
water,вода
wave,хвиля
wave,хвиля
way,шлях
way,шлях
we,ми
weak,слабкий
weaken,ослабнути
weakness,слабкість
wealth,багатство
wealthy,заможний
weapon,зброя
wear,знос
weather,погода
weave,плетіння
web,павутина
website,сайт
wedding,весілля
Wednesday,Середа
weed,бур'ян
week,тиждень
weekend,вихідні
weekly,щотижня
weigh,важити
weight,вага
weird,дивно.
welcome,ласкаво просимо
welcome,ласкаво просимо
welcome,ласкаво просимо
welcome,ласкаво просимо
welfare,добробут
well,"Ну, добре."
well,"Ну, добре."
well,"Ну, добре."
well,"Ну, добре."
well-being,благополуччя
west,захід
west,захід
west,захід
western,західний
wet,мокрий
what,що
what,що
whatever,неважливо.
whatever,неважливо.
whatever,неважливо.
whatsoever,що б там не було.
wheat,пшениця
wheel,колесо
when,коли
when,коли
when,коли
whenever,коли б то не було.
where,де
where,де
whereas,тоді як
whereby,згідно з яким
wherever,де б то не було.
whether,чи
which,який
which,який
while,в той час як
while,в той час як
whilst,в той час як
whip,батіг
whisper,шепіт
whisper,шепіт
white,білий
white,білий
who,хто
whoever,хто б там не був.
whole,цілий
whole,цілий
wholly,повністю
whom,кого
whose,чия
whose,чия
why,чому
wide,широкий
widely,широко
widen,розширюватися
widespread,широко розповсюджений
widow,вдова
width,ширина
wife,дружина
wild,дикий
wildlife,дика природа
will,воля
will,воля
willing,бажаючи
willingness,готовність
win,виграти
win,виграти
wind,вітер
wind,вітер
window,вікно
wine,вино
wing,крило
winner,переможець
winter,зима
wipe,витирати
wire,дріт
wisdom,мудрість
wise,мудрий
wish,бажання
wish,бажання
wit,дотепність
with,з
withdraw,зняти
withdrawal,виведення коштів
within,в межах
without,без
witness,свідок
witness,свідок
woman,жінка
wonder,дивуватися
wonder,дивуватися
wonderful,чудовий
wood,деревина
wooden,дерев'яний
wool,шерсть
word,слово
work,робота
work,робота
worker,працівник
workforce,робоча сила
working,працюючий
workout,тренування
workplace,робоче місце
workshop,майстер-клас
world,світ
worldwide,по всьому світу
worldwide,по всьому світу
worm,черв'як
worried,занепокоєний.
worry,хвилюватися
worry,хвилюватися
worse,гірше.
worse,гірше.
worse,гірше.
worship,поклоніння
worship,поклоніння
worst,найгірший
worst,найгірший
worst,найгірший
worth,вартістю
worth,вартістю
worthwhile,вартісною.
worthy,гідний
would,буде
wound,рана
wound,рана
wow,Ого.
wrap,обгортка
wrist,зап'ястя
write,написати
writer,письменник
writing,написання
written,написаний
wrong,неправильно
wrong,неправильно
wrong,неправильно
yard,двір
yeah,Так.
year,рік
yell,кричати
yellow,жовтий
yellow,жовтий
yes,Так.
yesterday,вчора
yesterday,вчора
yet,поки що.
yet,поки що.
yield,прибутковість
yield,прибутковість
you,ти
young,молодий
young,молодий
youngster,юнак
your,твій
yours,Твоя.
yourself,себе.
youth,молодь
zero,нуль
zone,зона
wonderland,країна чудес
conversely,навпаки
mediation,посередництво
cherry,вишня
testword,тестове слово
