English,Russian
tragic,трагический
trail,тропа
trail,тропа
trailer,прицеп
train,поезд
train,поезд
trainer,тренер
training,обучение
trait,черта
transaction,транзакция
transcript,транскрипт
transfer,перевод
transfer,перевод
transform,трансформировать
transformation,трансформация
transit,транзит
transition,переход
translate,перевести
translation,перевод
transmission,передача
transmit,передача
transparency,прозрачность
transparent,прозрачный
transport,транспорт
transport,транспорт
transportation,транспорт
trap,ловушка
trap,ловушка
trauma,травма
travel,путешествие
travel,путешествие
traveller,путешественник
treasure,сокровища
treat,лечить
treatment,лечение
treaty,договор
tree,дерево
tremendous,огромный
trend,тренд
trial,судебное разбирательство
tribal,племя
tribe,племя
tribunal,трибунал
tribute,дань
trick,трюк
trick,трюк
trigger,триггер
trigger,триггер
trillion,триллион
trio,трио
trip,поездка
trip,поездка
triumph,триумф
troop,войска
trophy,трофей
tropical,тропический
trouble,проблемы
trouble,проблемы
troubled,проблемный
trousers,брюки
truck,грузовик
true,правда
truly,действительно
trust,доверие
trust,доверие
trustee,доверительный управляющий
truth,правда
try,попробуйте
try,попробуйте
tsunami,цунами
tube,труба
Tuesday,Вторник
tuition,обучение
tune,настройка
tunnel,туннель
turn,повернуть
turn,повернуть
turnout,явка
turnover,оборот
TV,ТЕЛЕВИЗОР
twelve,двенадцать
twenty,двадцать
twice,дважды
twin,близнец
twin,близнец
twist,твист
twist,твист
two,два
type,тип
type,тип
typical,типичный
typically,обычно
tyre,шина
ugly,Уродливый
ultimate,окончательный
ultimately,в конечном итоге
umbrella,зонт
unable,не в состоянии
unacceptable,неприемлемо
uncertainty,неопределенность
uncle,дядя
uncomfortable,неудобно
unconscious,бессознательное
under,на сайте
under,на сайте
undergo,пройти
undergraduate,бакалавриат
underground,под землей
underground,под землей
underlying,в основе
undermine,подорвать
understand,понять
understanding,понимание
undertake,предпринять
underwear,нижнее белье
undoubtedly,несомненно
unemployed,безработный
unemployment,безработица
unexpected,неожиданный
unfair,несправедливо
unfold,развернуть
unfortunate,несчастный
unfortunately,к сожалению
unhappy,несчастный
uniform,униформа
unify,объединить
union,профсоюз
unique,уникальный
unit,блок
unite,объединяйтесь
united,объединенные
unity,единство
universal,универсальный
universe,Вселенная
university,университет
unknown,неизвестно
unless,если только
unlike,в отличие от
unlikely,маловероятно
unnecessary,ненужное
unpleasant,неприятный
unprecedented,беспрецедентный
until,до
until,до
unusual,необычный
unveil,открыть
up,вверх
up,вверх
upcoming,ближайшие
update,обновление
update,обновление
upgrade,обновление
upgrade,обновление
uphold,поддерживать
upon,на
upper,верхняя часть
upset,расстроенный
upset,расстроенный
upstairs,наверху
upstairs,наверху
upwards,вверх
urban,город
urge,призыв
urgent,срочно
us,мы
usage,использование
use,использовать
use,использовать
used,используется
used to,использованный для
useful,полезное
useless,бесполезно
user,пользователь
usual,обычно
usually,обычно
utility,коммунальные услуги
utilize,использовать
utterly,полностью
vacation,отпуск
vacuum,вакуум
vague,неясный
valid,действительный
validity,срок действия
valley,долина
valuable,ценные
value,значение
value,значение
van,ван
vanish,исчезнуть
variable,переменная
variable,переменная
variation,вариация
varied,разнообразные
variety,сорт
various,различные
vary,варьироваться
vast,обширная
vegetable,овощной
vehicle,автомобиль
vein,вена
venture,венчур
venture,венчур
venue,место проведения
verbal,вербальный
verdict,Вердикт
verify,проверить
verse,стих
version,версия
versus,против
vertical,вертикальный
very,очень
very,очень
vessel,судно
veteran,ветеран
via,через
viable,жизнеспособный
vibrant,яркий
vice,вице
vicious,злобный
victim,жертва
victory,победа
video,видео
view,посмотреть
view,посмотреть
viewer,зритель
viewpoint,точка зрения
village,деревня
villager,житель деревни
violate,нарушать
violation,нарушение
violence,насилие
violent,жестокий
virtual,виртуальный
virtue,добродетель
virus,вирус
visa,виза
visible,видимый
vision,видение
visit,посетите
visit,посетите
visitor,посетитель
visual,визуальный
vital,vital
vitamin,витамин
vocal,вокал
voice,голос
volume,том
voluntary,добровольно
volunteer,волонтер
volunteer,волонтер
vote,голосовать
vote,голосовать
voting,голосование
vow,обет
vulnerability,уязвимость
vulnerable,уязвимый
wage,заработная плата
wait,подождите
wait,подождите
waiter,официант
wake,разбудить
walk,прогулка
walk,прогулка
wall,стена
wander,бродить
want,хочу
war,война
ward,подопечный
warehouse,склад
warfare,война
warm,теплый
warm,теплый
warming,согревающий
warn,предупредить
warning,предупреждение
warrant,ордер
warrant,ордер
warrior,воин
wash,мыть
wash,мыть
washing,мойка
waste,отходы
waste,отходы
waste,отходы
watch,смотреть
watch,смотреть
water,вода
water,вода
wave,волна
wave,волна
way,путь
way,путь
we,мы
weak,слабый
weaken,ослабить
weakness,слабость
wealth,богатство
wealthy,богатые
weapon,оружие
wear,износ
weather,погода
weave,плетение
web,веб-сайт
website,сайт
wedding,свадьба
Wednesday,Среда
weed,сорняк
week,неделя
weekend,выходные
weekly,Еженедельник
weigh,взвесить
weight,вес
weird,странный
welcome,Добро пожаловать
welcome,Добро пожаловать
welcome,Добро пожаловать
welcome,Добро пожаловать
welfare,благосостояние
well,хорошо
well,хорошо
well,хорошо
well,хорошо
well-being,благополучие
west,запад
west,запад
west,запад
western,запад
wet,мокрый
what,что
what,что
whatever,неважно
whatever,неважно
whatever,неважно
whatsoever,что бы то ни было
wheat,пшеница
wheel,колесо
when,когда
when,когда
when,когда
whenever,когда
where,где
where,где
whereas,в то время как
whereby,таким образом
wherever,"везде, где"
whether,ли
which,который
which,который
while,в то время как
while,в то время как
whilst,в то время как
whip,плеть
whisper,шепот
whisper,шепот
white,белый
white,белый
who,кто
whoever,кто бы ни был
whole,целиком
whole,целиком
wholly,полностью
whom,кому
whose,чей
whose,чей
why,почему
wide,широкий
widely,широко
widen,расширить
widespread,широко распространенный
widow,вдова
width,ширина
wife,жена
wild,дикий
wildlife,дикая природа
will,будет
will,будет
willing,желающие
willingness,готовность
win,выиграть
win,выиграть
wind,ветер
wind,ветер
window,окно
wine,вино
wing,крыло
winner,победитель
winter,зима
wipe,протирать
wire,провод
wisdom,мудрость
wise,мудрый
wish,пожелание
wish,пожелание
wit,с
with,с
withdraw,вывести
withdrawal,вывод средств
within,в пределах
without,без
witness,свидетель
witness,свидетель
woman,женщина
wonder,чудо
wonder,чудо
wonderful,замечательный
wood,дерево
wooden,деревянный
wool,шерсть
word,слово
work,работа
work,работа
worker,рабочий
workforce,рабочая сила
working,работа
workout,тренировка
workplace,рабочее место
workshop,семинар
world,мир
worldwide,по всему миру
worldwide,по всему миру
worm,червь
worried,волнуется
worry,беспокоиться
worry,беспокоиться
worse,хуже
worse,хуже
worse,хуже
worship,поклонение
worship,поклонение
worst,худший
worst,худший
worst,худший
worth,стоит
worth,стоит
worthwhile,достойный
worthy,достойный
would,будет
wound,рана
wound,рана
wow,вау
wrap,обернуть
wrist,запястье
write,написать
writer,писатель
writing,написание
written,написано
wrong,неправильно
wrong,неправильно
wrong,неправильно
yard,двор
yeah,Да
year,год
yell,кричать
yellow,желтый
yellow,желтый
yes,да
yesterday,вчера
yesterday,вчера
yet,но
yet,но
yield,урожайность
yield,урожайность
you,вы
young,молодой
young,молодой
youngster,подросток
your,Ваш
yours,ваш
yourself,себя
youth,молодежь
zero,ноль
zone,зона
thunder,гром
burger,бургер
conversely,наоборот
mediation,медиация
cherry,вишня
testword,тестовое слово
